Erosion | Weathering | Plate Tectonics | Magnetic Anomalies 
-------------------- | --------------- | ----------------- | ------------------- 
Sediment | Frost | Oceanic Crust | Remanent Magnetism 
Abrasion | Chemical | Subduction Zone | Magnetic Dipole 
Deposition | Bioerosion | Convergent Plate Boundary | Isothermal Remanent Magnetism 
Gravitational | Wind | Mid-Ocean Ridge | Magnetic Susceptibility 
Mass Wasting | Slumping | Intraplate Movement | Earth's Magnetic Field 
Karst | Oxidation-Reduction | Divergent Plate Boundary | Curie Point 
Soil Creep | Hydrolysis | Horst and Graben | Non-Remanent Magnetism 
Rock Deformation | Freeze-Thaw Cycles | Transform Fault | Anisotropy of Magnetic Susceptibility
Mass Movement | Radiometric Dating | Compressional Deformation | Thermo Remanent Magnetism 
Weathering | Isostacy | Extensional Deformation | Remanent Magnetization 
Magma Upwelling | Thermal Expansion | Orogeny | Chemical Remanence 
Cooling Magma | Earthquakes |Hot Spots | Palaeomagnetism
