Geomancy|Head|Fortuna Minor|Fortuna Major|Fortuna Maior|Puer|Albus|Rubeus|Tristitia|Cauda Draconis|Caput Draconis|Via|Fortuna Minor Position|
Chevreul|Many Leaves|9|16|0|16|8|2|2|6|14|5|12|
Romani|Deer Tracks|5|16|16|9|7|6|11|14|4|8|2|
Rational|Cut Reeds|8|2|15|5|13|11|12|9|6|10|3|
Chiromancy|Claws|13|2|3|9|13|16|3|4|7|2|15|
Modem|Axe|13|4|14|13|1|5|11|7|15|7|14|
Egyptian|Gates|14|6|12|15|10|1|4|13|5|7|4|
Aesc|Wrapped Twig|2|5|3|5|3|14|14|1|2|10|9|
Hermes|Two Birds|10|13|2|10|6|8|7|8|12|14|1|
Natural|Forest|11|8|4|10|9|2|9|15|13|4|12|
Gold|Vulture|15|1|13|4|4|7|5|2|3|1|12|
Beacon|Staff|1|15|11|11|2|10|13|10|1|3|7|
Guardian|Cobra|7|11|7|7|15|12|8|5|11|8|2|
Horary|Owl|3|7|6|2|14|4|15|12|7|2|6|
Trinitarian|Shell|4|3|8|6|11|3|1|9|4|9|5|
Scotch|Pin|6|9|1|3|12|15|2|11|9|13|11|
Crooked|Wheel|12|14|5|14|1|13|6|3|10|11|10|
