Party | Year | Leader | Ideology | Popularity | Issue 1 | Issue 2 | Issue 3 | Issue 4 | Issue 5 | 
Democrat | 2018 | John Smith | Liberal | High | Healthcare | Immigration | Foreign Policy | Gay Rights | Climate Change | 
Republican | 2018 | Joe Jones | Conservative | Moderate | Healthcare | Immigration | Tax Reform | Abortion | Gun Control | 
Democrat | 2020 | Tara Lopez | Liberal | Low | Education | Trade | Infrastructure | Gun Control | Voter Rights |
Republican | 2020 | Mike Hamilton | Conservative | High | Education | Trade | Fossil Fuels | Abortion | Environmental Policies | 
Independent | 2018 | Jim Wilson | Progressive | High | Healthcare | Immigration | Gun Control | Racial Equality | Immigration | 
Independent | 2020 | Sarah Peters | Progressive | Moderate | Education | Trade | Climate Change | Gay Rights | Foreign Policy | 
Republican | 2018 | Paul Harris | Conservative | Moderate | Healthcare | Immigration | Tax Reform | Abortion | Gun Control | 
Democrat | 2020 | Mary Finn | Liberal | High | Education | Trade | Infrastructure | Gun Control | Voter Rights | 
Independent | 2018 | Jack White | Progressive | Low | Healthcare | Immigration | Fossil Fuels | Racial Equality | Immigration | 
Republican | 2020 | Dave Anderson | Conservative | Low | Education | Trade | Climate Change | Abortion | Environmental Policies |
