Biome | Environment | Latitude | Longitude | Climate | Flora | Fauna | Organic Matter | Abiotic 
---- | ----------- | -------- | --------- | ------- | ----- | ----- | -------------- | -------- 
Tundra | Arctic | 71° N | 0° | Cold | Mosses | Musk ox | Soil | Rock 
Taiga | Temperate | 65° N | 0° | Cold | Conifers | Grizzly bear | Organic Material | Air 
Rainforest | Tropical | 30° N | 0° | Hot | Broadleaf trees | Gorilla | Litter | Water 
Desert | Hot | 30° N | 0° | Hot | Succulents | Kangaroo rat | Decomposers | Sand 
Grassland | Temperate | 40° N | 0° | Mild | Grasses | Bison | Humus | Minerals 
Temperate Forest | Temperate | 40° N | 0° | Mild | Trees and shrubs | Fox | Organic Compounds | Sunlight 
Marsh | Temperate | 40° N | 0° | Humid | Bulrushes | Muskrat | Microorganisms | Silt 
Iceberg | Polar | 60° S | 0° | Frigid | None | Penguin | None | Ice 
Prairie | Temperate | 40° N | 0° | Mild | Wildflowers | Elk | Fungi | Heat
