,query_table,groundtruth_set,result_set,intersection
0,311_calls_historic_data_a.csv,"{'311_calls_historic_data_5', '311_calls_historic_data_8', '311_calls_historic_data_3', '311_calls_historic_data_9', '311_calls_historic_data_4', '311_calls_historic_data_6', '311_calls_historic_data_1', '311_calls_historic_data_a', '311_calls_historic_data_7', '311_calls_historic_data_2', '311_calls_historic_data_0'}",['311_calls_historic_data_a'],{'311_calls_historic_data_a'}
1,abandoned_wells_a.csv,"{'abandoned_wells_7', 'abandoned_wells_9', 'abandoned_wells_2', 'abandoned_wells_0', 'abandoned_wells_6', 'abandoned_wells_5', 'abandoned_wells_8', 'abandoned_wells_4', 'abandoned_wells_a', 'abandoned_wells_1', 'abandoned_wells_3'}",['abandoned_wells_a'],{'abandoned_wells_a'}
2,albums_a.csv,"{'albums_9', 'albums_13', 'albums_2', 'albums_0', 'albums_7', 'albums_4', 'albums_3', 'albums_8', 'albums_11', 'albums_b', 'albums_10', 'albums_5', 'albums_6', 'albums_a', 'albums_1', 'albums_12'}",['albums_a'],{'albums_a'}
3,albums_b.csv,"{'albums_9', 'albums_13', 'albums_2', 'albums_0', 'albums_7', 'albums_4', 'albums_3', 'albums_8', 'albums_11', 'albums_b', 'albums_10', 'albums_5', 'albums_6', 'albums_a', 'albums_1', 'albums_12'}",['albums_b'],{'albums_b'}
4,animal_tag_data_a.csv,"{'animal_tag_data_b', 'animal_tag_data_6', 'animal_tag_data_0', 'animal_tag_data_1', 'animal_tag_data_2', 'animal_tag_data_8', 'animal_tag_data_4', 'animal_tag_data_7', 'animal_tag_data_5', 'animal_tag_data_a', 'animal_tag_data_9', 'animal_tag_data_3'}",['animal_tag_data_a'],{'animal_tag_data_a'}
5,animal_tag_data_b.csv,"{'animal_tag_data_b', 'animal_tag_data_6', 'animal_tag_data_0', 'animal_tag_data_1', 'animal_tag_data_2', 'animal_tag_data_8', 'animal_tag_data_4', 'animal_tag_data_7', 'animal_tag_data_5', 'animal_tag_data_a', 'animal_tag_data_9', 'animal_tag_data_3'}",['animal_tag_data_b'],{'animal_tag_data_b'}
6,biodiversity_a.csv,"{'biodiversity_4', 'biodiversity_8', 'biodiversity_0', 'biodiversity_7', 'biodiversity_2', 'biodiversity_6', 'biodiversity_9', 'biodiversity_3', 'biodiversity_5', 'biodiversity_a', 'biodiversity_1'}",['biodiversity_a'],{'biodiversity_a'}
7,business_rates_a.csv,"{'business_rates_2', 'business_rates_0', 'business_rates_a', 'business_rates_6', 'business_rates_9', 'business_rates_1', 'business_rates_3', 'business_rates_7', 'business_rates_8', 'business_rates_5', 'business_rates_10', 'business_rates_4'}",['business_rates_a'],{'business_rates_a'}
8,cdc_nutrition_physical_activity_and_obesity_legislation_a.csv,"{'cdc_nutrition_physical_activity_and_obesity_legislation_9', 'cdc_nutrition_physical_activity_and_obesity_legislation_7', 'cdc_nutrition_physical_activity_and_obesity_legislation_6', 'cdc_nutrition_physical_activity_and_obesity_legislation_8', 'cdc_nutrition_physical_activity_and_obesity_legislation_3', 'cdc_nutrition_physical_activity_and_obesity_legislation_0', 'cdc_nutrition_physical_activity_and_obesity_legislation_a', 'cdc_nutrition_physical_activity_and_obesity_legislation_5', 'cdc_nutrition_physical_activity_and_obesity_legislation_2', 'cdc_nutrition_physical_activity_and_obesity_legislation_4', 'cdc_nutrition_physical_activity_and_obesity_legislation_1'}",['cdc_nutrition_physical_activity_and_obesity_legislation_a'],{'cdc_nutrition_physical_activity_and_obesity_legislation_a'}
9,cihr_co-applicant_a.csv,"{'cihr_co-applicant_3', 'cihr_co-applicant_7', 'cihr_co-applicant_1', 'cihr_co-applicant_4', 'cihr_co-applicant_0', 'cihr_co-applicant_8', 'cihr_co-applicant_9', 'cihr_co-applicant_6', 'cihr_co-applicant_b', 'cihr_co-applicant_2', 'cihr_co-applicant_a', 'cihr_co-applicant_5'}",['cihr_co-applicant_a'],{'cihr_co-applicant_a'}
10,cihr_co-applicant_b.csv,"{'cihr_co-applicant_3', 'cihr_co-applicant_7', 'cihr_co-applicant_1', 'cihr_co-applicant_4', 'cihr_co-applicant_0', 'cihr_co-applicant_8', 'cihr_co-applicant_9', 'cihr_co-applicant_6', 'cihr_co-applicant_b', 'cihr_co-applicant_2', 'cihr_co-applicant_a', 'cihr_co-applicant_5'}",['cihr_co-applicant_b'],{'cihr_co-applicant_b'}
11,civic_building_locations_a.csv,"{'civic_building_locations_8', 'civic_building_locations_2', 'civic_building_locations_1', 'civic_building_locations_5', 'civic_building_locations_9', 'civic_building_locations_3', 'civic_building_locations_4', 'civic_building_locations_0', 'civic_building_locations_7', 'civic_building_locations_6', 'civic_building_locations_a', 'civic_building_locations_10'}",['civic_building_locations_a'],{'civic_building_locations_a'}
12,complaint_by_practice_a.csv,"{'complaint_by_practice_5', 'complaint_by_practice_7', 'complaint_by_practice_0', 'complaint_by_practice_4', 'complaint_by_practice_1', 'complaint_by_practice_6', 'complaint_by_practice_b', 'complaint_by_practice_a', 'complaint_by_practice_3', 'complaint_by_practice_8', 'complaint_by_practice_10', 'complaint_by_practice_9', 'complaint_by_practice_2'}",['complaint_by_practice_a'],{'complaint_by_practice_a'}
13,complaint_by_practice_b.csv,"{'complaint_by_practice_5', 'complaint_by_practice_7', 'complaint_by_practice_0', 'complaint_by_practice_4', 'complaint_by_practice_1', 'complaint_by_practice_6', 'complaint_by_practice_b', 'complaint_by_practice_a', 'complaint_by_practice_3', 'complaint_by_practice_8', 'complaint_by_practice_10', 'complaint_by_practice_9', 'complaint_by_practice_2'}",['complaint_by_practice_b'],{'complaint_by_practice_b'}
