Igneous Rocks | Metamorphic Rocks | Stratigraphy | Paleomagnetism 
------------------  | ----------------- | ------------- | --------------- 
Granite | Gneiss | Volcanic Deposits | Normal and Reversed Polarity 
Basalt | Marble | Sequences | Continental Drift 
Obsidian | Quartzite | Correlation | Sea Floor Spreading 
Rhyolite | Schist | Cross-Cutting Relationships | Chrons 
Andesite | Slate | Faunal Succession | Virtual Geomagnetic Pole 
Diorite | Amphibolite | Geologic Time Scale | Apparent Polar Wander 
ignimbrite | Hornfels | Geochronology | Magnetic Excursions 
Scoria | Eclogite | Stratigraphic Unconformities | Paleointensity 
Pumice | Migmatite | Superposition | Inclination and Declination
