Singer|Style|Genre|Instrument|Lyric|Cadence
Beyoncé|R&B| Pop|Vocals|Yes|Quick
Elvis|Rock n’ Roll| Rock|Guitar|No|Sharp
Bobby Darin|Jazz| Blues|Saxophone|No|Quick
Lady Gaga|Dance Pop|Pop|Keyboard|Yes|Legato
Dolly Parton|Country|Country|Banjo|No|Legato
Chuck Berry|Rockabilly|Rock & Roll|Guitar|No|Sharp
Maren Morris|Contemporary Country|Country|Guitar|Yes|Legato
John Denver|Folk Rock|Folk|Guitar|Yes|Quick
Joni Mitchell|Folk Rock|Folk|Guitar|Yes|Legato
Taylor Swift|Country Pop|Pop|Vocals|Yes|Legato
John Coltrane|Hard Bop|Jazz|Saxophone|No|Sharp
Billie Eilish|Indie Pop|Pop|Vocals|Yes|Legato
Hank Williams Jr.|Outlaw Country|Country|Guitar|No|Legato
Nat King Cole|Jazz & Pop|Jazz|Piano|No|Quick
Aretha Franklin|Soul|Soul|Vocals|Yes|Quick
Garth Brooks|Country Pop|Country|Guitar|Yes|Legato
Bruce Springsteen|Heartland Rock|Rock|Guitar|Yes|Quick
Sinatra|Swing|Jazz|Vocals|No|Sharp
