| Word      | Definition  | Synonyms            | Origin              |
| ---------- | ---------- | --------------- | ------------------ |
| Ragnarok   | Doomsday   | Goetterdaemmerung | Norse              |
| Midgard    | Homeworld  | Miðgarðr          | Norse              |
| Sleipnir   | 8-legged   | Pferd der Götter  | Norse              |
| Jotun      | Giant      | Ymir, Grendel     | Norse              |
| Fenrir     | Wolf       | Skol, Hati        | Norse              |
| Aegir      | Sea giant  | Logi, Gymir        | Norse              |
| Valkyrie   | Chooser    | Walkyrie          | Norse              |
| Fenrir     | Wolf       | Skol, Hati        | Norse              |
| Thor       | God        | Donar, Thunar      | Norse              |
| Loki       | Trickster  | Hveðrungr          | Norse              |
| Yggdrasil  | World tree | Aesir              | Norse              |
| Bifrost    | Rainbow    | Asgarðrbridge      | Norse              |
| Odin       | Leader     | Allfather          | Norse              |
