Plant | Variety | Soil | Water |
Apple |Granny Smith | Loamy |Slight 
Pear |Bartlett | Clay | Average 
Cherry | Rainier | Sandy |Heavy 
Raspberry | Bountiful | Arid | Slight 
Peach |August Pride| Sandy Loam| Heavy 
Blueberry |Jubilee | Rich | Slight 
Watermelon |Crimson Sweet | Alluvial | Average 
Grape |Concord | Peat | Heavy 
Strawberry |Temptation | Humus | Slight 
Carrot |Nantes | Clay Loam | Average 
Radish |Cherry Belle | Gravelly | Heavy
Eggplant |Neon | Loamy | Slight 
Avocado |Hass | Alkaline | Average 
Cucumber |Lemon | Salty | Heavy 
Squash |Acorn | Heavy | Slight 
Asparagus |Jersey Knight | Sandy | Average
