Subduction Zone | Extensional Deformation | Compressional Deformation | Orogeny 
------------------------------------------------ | ------------------------- | --------------------------- | ------------- 
Earthquakes | Intraplate Movement | Plate Tectonics | Isostacy 
Volcanic Eruption | Transform Fault | Magnetic Anomalies | Continental Drift 
Magma Upwelling | Horst and Graben | Earth's Magnetic Field | Plate Boundaries 
Radiometric Dating | Magma Chambers | Magnetic Susceptibility | Magnetic Reversals 
Volcanic Magmas | Magma Cooling | Thermal Expansion | Alfred Wegener 
Magma Differentiation | Magma Transport | Hotspot Tracks | Seismic Tomography 
Crustal Density | Igneous Intrusions | Anisotropy of Magnetic Susceptibility | Seafloor Spreading 
Magma Degassing | Magma Volatile Release | Remanent Magnetization | Convection Currents 
Magma Fractionation | Magma Differential Buoyancy | Isothermal Remanent Magnetism | Tectonic Plates
