Kingdom | Cell Type | Cell Wall | Internal Organization | Energy Source | Nutrition | Structure | Reproduction 
Protista | Eukaryotic | Yes | Complex | Photosynthesis | Autotroph | Unicellular & Multicellular | Sexual & Asexual 
Animalia | Eukaryotic | No | Complex | Metabolism | Heterotroph | Multicellular | Sexual & Asexual
Fungi | Eukaryotic | Yes | Comlex | Metabolism | Heterotroph | Multicellular | Sexual & Asexual
Chromista | Eukaryotic | Yes | Complex | Photosynthesis | Photoautotroph | Unicellular & Multicellular | Asexual
Viridae | Prokaryotic | Yes | Simple | Metabolism | Heterotroph | Unicellular & Multicellular | Asexual
Plantae | Eukaryotic | Yes | Complex | Photosynthesis | Photautotroph | Multicellular & Unicellular | Sexual & Asexual
Monera | Prokaryotic | Yes | Simple | Metabolism | Heterotroph | Unicellular | Asexual
Archaea | Prokaryotic | Yes | Simple | Metabolism | Heterotroph | Unicellular | Asexual
Archaea | Prokaryotic | Yes | Complex | Photosynthesis | Photolithotroph | Unicellular | Asexual 
Protozoa | Protozoa | Yes | Complex | Metabolism | Heterotroph | Unicellular | Asexual 
Fungi | Eukaryotic | Yes | Complex | Metabolism | Heterotroph | Multicellular | Sexual & Asexual 
Plantae | Eukaryotic | Yes | Complex | Photosynthesis | Photoautotroph | Multicellular & Unicellular | Sexual & Asexual 
Chromalveolata | Eukaryotic | Yes | Complex | Photosynthesis | Photoautotroph | Unicellular & Multicellular | Asexual 
Chromista | Eukaryotic | Yes | Complex | Photosynthesis | Photoautotroph | Unicellular & Multicellular | Asexual
