Name | Country | Type | Height | Latitude | Longitude | Temperature Range | Annual Precip | Average Snow | Wind Speed | Sunlight | Humidity
Anatoki, Tasman | New Zealand | Mountain | 1802m | 40.55 | 173.13 | -4°C to 7.4°C | 2000mm | 0cm | 22.7 km/h | 5h | Humid
Mount Ruapehu | New Zealand | Stratovolcano | 2797m | 39.28 | 175.57 | -7.7°C to 4.8°C | 2133mm | 96cm | 8.7 km/h | 4h | Humid
Mount Taranaki | New Zealand | Stratovolcano | 2518m | 39.26 | 174.04 | -5.2°C to 4.2°C | 2895mm | 0cm | 31.1 km/h | 5h | Humid
Mount Egmont | New Zealand | Stratovolcano | 2518m | 39.23 | 174.02 | -7.2°C to 3.1°C | 2314mm | 0cm | 24.3 km/h | 4h | Humid
Mount Ngauruhoe | New Zealand | Stratovolcano | 2351m | 39.12 | 175.62 | -8.4°C to 4.7°C | 2132mm | 0cm | 8.2 km/h | 4h | Humid
Mount Aspiring | New Zealand | Stratovolcano | 3033m | 44.39 | 168.45 | -10.8°C to -2.2°C | 1348mm | 11.3cm | 10.3 km/h | 5h | Humid
Mt Poorueka | New Zealand | Mountain | 1683m | -41.33 | 173.98 | -11.6°C to 9.3°C | 650mm | 2.4cm | 14.0 km/h | 5h | Humid
Puketeraki | New Zealand | Mountain | 1553m | -47.23 | 169.35 | -9.1°C to 3.2°C | 2263mm | 11.9cm | 19.3 km/h | 4h | Humid
Mt Anglem | New Zealand | Mountain | 1406m | -46.122 | 168.26 | -11.4°C to 4.7°C | 1813mm | 0cm | 15.1 km/h | 4h | Humid
Pohatu | New Zealand | Mountain | 866m | -46.13 | 167.67 | -6.1°C to 12.2°C | 1957mm | 0cm | 22.3 km/h | 4h | Humid
Nigaras | New Zealand | Mountain | 856m | -43.98 | 169.52 | -0.9°C to 14.3°C | 2475mm | 0cm | 20.6 km/h | 5h | Humid
Mount Cook | New Zealand | Stratovolcano | 3754m | -43.7 | 170.06 | -15°C to 4.2°C | 2605mm | 119.3cm | 33.3 km/h | 4h | Humid
