Alliance | Sanctions | Sovereignty | Deterrence | Embargo | Treaty | Norms | Institution | International Law | Resolution 
-------------| --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | ---------------
ASEAN | Iran | Kosovo | Cold War | Cuban | INF | Responsibility to Protect | UN | Nuremberg | UNSC 
NATO | North Korea | Quebec | Gulf War | American | Paris Climate | Humanitarian Intervention | ICC | Hague | ICC 
OAS | Russia | Tibet | WWI | Canadian | Nuclear Non-Proliferation | Democracy Promotion | WTO | ICJ | ECOSOC 
G7 | Iraq | Catalonia | WWII | Sudanese | SALT | Humanitarian Aid | IMF | ICJ | Human Rights Council 
G20 | Venezuela | Scotland | Falklands War | Afghan | Kyoto Protocol | Development | World Bank | NATO | International Court of Justice 
SCO | Myanmar | Wales | Crimea Conflict | Iraqi | Iran Nuclear | Counter-Terrorism | IMF and World Bank | Bretton Woods |  UNHRC 
CSTO | Syria | Northern Irish | Vietnam War | Somali | NAFTA | Governance | Eurasian Economic Union | ECHR | Berlin Declaration 
SAARC | Zimbabwe | Rep. of Ireland | Yom Kippur | Chinese | JCPOA | Security | African Union | IAEA | NATO-Russia 
Shanghai Five | Libya | Western Sahara | Six-Day | Venezuelan | Vienna Convention | Human Rights | Organisation for Economic Co-operation and Development | COVAX | ICISS
