Dispute | Diplomacy | Regulations | Intervention | Sovereignty | Policy | Resolution | Treaty 
--------------- | --------------- | --------------- | --------------- | -------------- | --------------- | --------------- | --------------- 
South China Sea | Overtures | WTO | NATO | Autonomy | Sanctions | UN | Nuclear 
Golan Heights | Negotiations | IMF | AU | Independence | Military | ICC | Non-Proliferation 
Korean Peninsula | Engagements | FTA | OSCE | Nationality | Humanitarian | War | Arms Control  
Cyprus | Reconciliation | World Bank | SCO | Integration | Counter-Terrorism | Ceasefire | Neutrality 
Libyan Crisis | Summits | SADC | AU | Religious | Embargoes | Consultations | Globalization 
Palestine | Exchange | ECOWAS | League of Nations | Territorial | Intelligence | Decision | Demilitarization 
India-Pakistan | Narrative | Commonwealth | UN | Immigration | Civil | Statement | Sustainability 
Sri Lanka | Relations | OAS | ASEM | Identity | Intelligence | Framework | Human Rights 
Ukraine | Discussions | Pacific Alliance | IBSA | Affiliation | Intelligence | Arrangements | Climate Change 
Taiwan | Mandate | Customs Union | Shanghai Five | Union | Containment | Moderation | Disarmament
