Party | Year | Leader | Ideology | Popularity | Issue 1 | Issue 2 | Issue 3 | Issue 4 | Issue 5 | Issue 6 | Issue 7 | Issue 8 | 
Democrat | 2018 | John Smith | Liberal | High | Healthcare | Immigration | Foreign Policy | Gay Rights | Climate Change | Economic Policy | Tax Reform | Energy Policy | 
Republican | 2018 | Joe Jones | Conservative | Moderate | Healthcare | Immigration | Tax Reform | Abortion | Gun Control | National Security | Social Issues | Trade | 
Democrat | 2020 | Tara Lopez | Liberal | Low | Education | Trade | Infrastructure | Gun Control | Voter Rights | Government Spending | Infrastructure | Social Issues | 
Republican | 2020 | Mike Hamilton | Conservative | High | Education | Trade | Fossil Fuels | Abortion | Environmental Policies | Free Trade | Tax Reform | Energy Policy | 
Independent | 2018 | Jim Wilson | Progressive | High | Healthcare | Immigration | Gun Control | Racial Equality | Immigration | Government Spending | Infrastructure | Social Issues | 
Independent | 2020 | Sarah Peters | Progressive | Moderate | Education | Trade | Climate Change | Gay Rights | Foreign Policy | National Security | Social Issues | Trade | 
Republican | 2018 | Paul Harris | Conservative | Moderate | Healthcare | Immigration | Tax Reform | Abortion | Gun Control | Economic Policy | Tax Reform | Energy Policy | 
Democrat | 2020 | Mary Finn | Liberal | High | Education | Trade | Infrastructure | Gun Control | Voter Rights | Free Trade | Tax Reform | Energy Policy | 
Independent | 2018 | Jack White | Progressive | Low | Healthcare | Immigration | Fossil Fuels | Racial Equality | Immigration | National Security | Social Issues | Trade | 
Republican | 2020 | Dave Anderson | Conservative | Low | Education | Trade | Climate Change | Abortion | Environmental Policies | Government Spending | Infrastructure | Social Issues |
