Plant | Height (in) | Width (in) | Flowers? | Foliage? | Areas of Growth | Zone | Thorny | Edible? | Biennial? | Sunlight | Slow Growth? | Acidic Soil?
Apple | 15- 20 |10 - 15 |White |Green |All |6-8 | No | Yes | No |Full or Partial | No | No
Pear |20 - 30 | 15 - 25 |White |Green |All |4-9 | No | Yes | No |Full or Partial | No | No 
Cherry |25 - 35 |20 - 35 |White |Green |All |4-8 | No | Yes | No |Full Sun | No |No
Raspberry |2- 3 | 0.5 - 1 |White |Green |All |2-11 | Yes | Yes | No |Full Sun| No |No 
Peach |15 - 20 | 10 - 15 |White |Green |All |5-8 |No |Yes |No |Full Sun |No |No 
Blueberry | 4-6 |4 - 6 |White |Green |All |3-7 | No |Yes |No |Full Sun |Yes |Yes
Watermelon |Varies |Varies |Yellow |Green |Warm |3-11 |No |Yes |No |Full Sun |No |No
Grape |8-30 | 0.5 - 3 |White |Green |All |3-9 | Yes |Yes |No |Full Sun |No |Yes 
Strawberry | 0 - 4 |0 - 4 |White |Green |All |2-10 |No | Yes |No |Full Sun | No |Yes 
Carrot |6 - 12 | 0.5 - 1 |White |Green |All |3-9 | No | Yes |No |Full Sun |No |No 
Radish |1 - 3 |0.5 - 1 |White |Green |All |2-11 |No |Yes |No |Full Sun |No |No 
Eggplant | 24 - 36 |36 - 48 |White |Purple |All |6-11 | No |Yes |No |Full Sun |No |No
Avocado |20 - 40 |20 - 35 |White |Green |Tropical |8-11 | No |Yes |No |Partial Sun |No |No
Cucumber |3 - 7 |6 - 12 |Yellow |Green |All |2-11 |No |Yes |No |Full Sun |No |No
Squash |Varies |Varies |Yellow |Green |All |3-11 |No |Yes |No |Full Sun |Yes |No
Asparagus |18-30 |2-3 |White |Green |All |4-8 |No |Yes |Yes |Full Sun |No |No
