Nation | Ambassador | Capital | Flag | Religion | Government | Technology | Population 
-------------- | --------------- | -------------- | --------------- | --------------- | --------------- | --------------- | --------------- 
Brazil | Erwin | Brasília | Green | Christianity | Federal | Automobile | 209 million 
Australia | Paul | Canberra | Red | Christianity | Constitutional | Computer | 24.6 million 
South Africa | Dlam | Pretoria | Orange | Christianity | Parliamentary | Telecommunications | 58 million 
Argentina | Gustavo | Buenos Aires | Blue | Christianity | Presidential | Aerospace | 44 million 
Mexico | José | Mexico City | Red | Christianity | Presidential | Aerospace | 126 million 
USA | Pompeo | Washington | Red | Christianity | Federal | Computer | 327 million 
India | Jaishankar | New Delhi | Orange | Hinduism | Parliamentary | Automobile | 1.3 billion 
China | Hu | Beijing | Red | Buddhism | Communist | Telecommunications | 1.4 billion 
Japan | Kono | Tokyo | Red | Shintoism | Constitutional | Automobile | 126 million 
EU | Gentiloni | Brussels | Blue | Christianity | Parliamentary | Aerospace | 446 million
