Tech|Feature|Design|Storage|Usage|Portability|Network|Cost|Connector
Computer|Dual Core|Desktop|3TB|Productivity|Immobile|Ethernet|$699.99|VGA
Laptop|Intel i5|Ultrabook|1TB|Creation|Portable|Wi-Fi|$849.99|USB
Tablet|ARM Cortex|Hybrid|128GB|Organizing|Compact|Cellular|$579.99|Micro-USB
Webcam|1080p Output|Integrated|8GB|Video Chat|Mini|Bluetooth|$79.99|HDMI
Data Storage|Solid State|External|4TB|Saving Data|Rotatable|Ethernet|$109.99|USB-C
Printer|Laser|All-in-One|32GB|Paperwork|Non-portable|Wi-Fi|$119.99|Parallel
Monitor|LED Backlight|Widescreen||Gaming|Fixed|Fiber-optic|$499.99|DisplayPort
Smartphone|Octa-Core|Touchscreen|64GB|Communication|Pocket|Cellular|$899.99|Lightning
Graphics Card|AMD Radeon|Internal|256GB||Dedicated|Fiber-optic|$299.99|PCIe
Mouse|Laser|Ergonomic|256MB|Point & Click|Mini|Bluetooth|$19.99|USB
TV|OLED Display|HD|16TB|Entertainment|Fixed|Fiber-optic|$999.99|HDMI
