| Word          | Depiction | Variation      | Meaning             |
| -----------  | ----------- | ------------ | ------------------- |
| Odin         | King        | Ygg, Yggdrasil | Supreme God         |
| Thor         | Warrior     | Longbeard     | God of Thunder      |
| Loki         | Trickster   | Sly One       | God of Mischief     |
| Heimdall     | Guardian    | Gullintanni   | Celestial Sentinel  |
| Freya        | Sorceress   | Valfreya      | Sorceress of War    |
| Baldur       | Hero        | Bearer        | God of Light        |
| Freyr        | Fertility   | Ingvi-Freyr   | God of Fertility    |
| Ullr         | Hunter      | Jarl          | God of Hunting      |
| Frigg        | Mother      | Fria          | Goddess of Marraige |
| Idunn        | Youth       | Idun          | Goddess of Youth    |
| Freyja       | Enchantress | Vanadis       | Goddess of Love     |
| Hel          | Underworld  | Hella         | Goddess of Death    |
| Sif          | Mother      | Haerer        | Goddess of Harvest  |
| Nanna        | Love        | Nokkvi        | Goddess of Love     |
| Skadi        | Winter      | Snowshoe Lady | Goddess of Winter   |
| Gefjon       | Plowing     | Gylfi's wife  | Goddess of Plowing  |
| Rán          | Sea         | Rani          | Goddess of the Sea  |
| Sjöfn        | Love        | Sigrdrífa    | Goddess of Love     |
