Performing Arts | Dance | Improvisational Theatre | Vaudeville | Puppetry | Dance-Drama | Music Hall | Variety Shows
Ballet         |           X             |           X             |           X             |           X             |            X             |            X             |            X             
Modern Dance         |           X             |            X             |            X             |           X             |           X             |           X             |           X
Classical Dance         |           X             |           X             |           X             |            X             |           X             |           X             |           X
Tap Dance         |           X             |            X             |            X             |            X             |           X             |            X             |            X
Acrobatics         |           X             |            X             |           X             |           X             |           X             |           X             |           X
Travesties         |            X             |           X             |           X             |           X             |           X             |            X             |            X
Musicals         |            X             |            X             |           X             |           X             |            X             |           X             |           X
Comedies         |            X             |           X             |           X             |           X             |           X             |           X             |           X
Circus         |           X             |           X             |           X             |           X             |           X             |           X             |           X
Operetta         |            X             |            X             |           X             |            X             |            X             |            X             |           X
Juggling         |           X             |            X             |            X             |            X             |            X             |            X             |            X
