Performing Arts | Stage | Dance | Music | Visual Arts | Circus Arts | Sports | Comedy | Performance | Literary Arts | Ancient Arts
Theatre         |           X             |           X             |            X             |            X             |           X             |           X             |           X             |           X             |           X             |            X
Ballet         |           X             |           X             |            X             |           X             |           X             |           X             |            X             |           X             |            X             |            X
Opera         |           X             |            X             |           X             |           X             |            X             |           X             |           X             |           X             |            X             |           X
Orchestral Music         |           X             |            X             |           X             |           X             |           X             |            X             |           X             |            X             |            X             |            X
Circus         |           X             |            X             |           X             |           X             |           X             |           X             |            X             |           X             |            X             |           X
Synchronized Swimming         |           X             |           X             |            X             |            X             |            X             |            X             |           X             |            X             |           X             |           X
Jazz         |           X             |            X             |           X             |           X             |           X             |            X             |           X             |           X             |            X             |           X
Video         |           X             |            X             |           X             |           X             |            X             |           X             |           X             |           X             |           X             |           X
Cinema         |           X             |            X             |           X             |           X             |            X             |           X             |           X             |           X             |           X             |           X
Comedy         |           X             |            X             |           X             |           X             |           X             |           X             |           X             |           X             |           X             |           X
