Geomancy|Head|Puer|Cauda Draconis|Daughters of Fates|Violet King|Violet Queen|Two of Earth|Two of Water|Two of Air|Two of Fire|Death|
Eagle|High Officer|5|8|8|14|4|13|10|7|12|3|15|
Snake|Wise Counsellor|12|11|4|5|11|3|7|14|6|10|2|
Stag|Benevolent Monarch|10|7|2|15|5|1|12|13|8|3|14|
Otter|Good News|2|2|14|11|7|5|3|8|15|13|12|
Lion|Honest People|13|4|15|7|15|13|8|11|5|4|6|
Ram|Strength|11|3|5|4|13|5|4|12|7|14|8|
Boar|Opponent|8|9|9|3|12|7|5|14|2|15|10|
Bear|Mighty Opponent|6|13|6|2|3|10|7|6|1|11|13|
Lynx|Disaster|3|14|15|12|9|4|6|5|13|7|1|
Ox|Laborious Service|4|15|11|6|1|9|5|14|3|8|2|
Badger|Swiftness|9|10|12|9|8|2|4|7|11|5|10|
Horse|Traveller|14|6|3|8|2|14|10|13|4|1|11|
