You Look At | Exploration | Clarification | Integration | Interpretation | Recognition | Organizing | Familiarizing | Synthesis |
Mental process | Collection of thoughts | Mental expression | Imagination | Psychoanalytic Theory | Structure | Comprehension | Meaning | Form |
Psychologist | Pierre Janet | Sigmund Freud | Alfred Adler | Carl Jung | Erik Erikson | Jean Piaget | Abraham Maslow | Carl Rogers | B. F. Skinner |
Domain | Feelings | Emotions | Thinking | Internal | External | Sensation | Anthropological | Philosophical | Educational |
Context | Experiential | Internal | External | Anthropological | Sociological | Philosophical | Historical | Developmental |
Cognitive Psychology | Thought Patterns | Perception | Imagination | Intuition | Reasoning | Decision-Making | Insight | Problem-Solving |
Behavioral Psychology | Habit Formation | Conditioning | Modelling | Schedules | Shaping | Reversal | Composite | Approximation |
Developmental Psychology | Growth | Change | Learning | Cultivation | Adulthood | Wisdom | Maturity | Intelligence |
Research Technique | Qualitative | Quantitative | Ethnographic | Cross-Sectional | Lab Study | Interviews | Biological | Neuroscience |
Brain Structure | Corpus Callosum | Thalamus | Hippocampus | Prefrontal Cortex | Hypothalamus | Amygdala | Cerebellum | Medulla Oblongata | Neocortex |
Social Psychology | Prejudice | Ignorance | Conformity | Aggression | Stereotypes | Bias | Discrimination | Prejudgment |
