Plant | Botanical | Roots | Leaves | Vines | Propagation | Growth Rate | Profile | Vertical Soil | Flowers | Garlic | Bulbs
Apple | Malus | Tap | Halved | No | Softwood Cuttings | Moderate | Irregular | Light | Pink | Yes | No
Pear |Pyrus | Fibrous | Lobed | No | Hardwood Cuttings | Slow | Upright | Heavy | White | No | No
Cherry |Prunus | Deep | Oval | No | Division | Fast | Spreading |Light | Scarlet| No | No
Raspberry | Rubus | Shallow |Triangular | Yes | Layering | Moderate | Colonizing |Medium | Pink | No | No
Peach |Prunus |Deep | Oval | No | Grafting| Fast | Erect | Heavy |White | No | No
Blueberry |Vaccinium |Shallow | Elliptical | No | Softwood Cuttings | Moderate | Spreading |Light | Pink | No | No
Watermelon |Citrullus |Branched | Lobed | No | Seed | Fast | Low Spreading | Medium | White | No | No
Grape |Vitus|Shallow | Palmately | Yes | Cuttings | Slow | Climbing |Heavy |Yellow | No |No
Strawberry |Fragaria |Creeping | Triple Eliptic| No | Plug | Fast | Low | Light | White |No | Yes
Carrot |Daucus |Deep | Tripinnate | No | Seed | Slow | Upright | Heavy | White |No |Yes
Radish | Raphanus |Tap | Triangular \t| No | Divisions | Moderate | Low |Light | White|No | Yes
Eggplant |Solanum |Deep | Palmately | No | Tissue Culture | Fast | Bushy | Medium | Lavender |No |No
Avocado |Persea |Fibrous | Elliptic |No | Seed | Slow |Upright | Heavy | White |Yes | No
Cucumber |Cucumis |Tap | Five Lobed |Yes | Cuttings | Fast | Sprawling |Light | White |No|No
Squash |Cucurbita |Branched | Five lobed| Yes | Rootstocks | Moderate | Spreading | Medium | Yellow | Yes |Yes
Asparagus |Asparagus |Deep | Finely |No| Division|Fast|Erect|Heavy|White|No|Yes
