Earthquake | Folding | Mantle Plume | Sea-Floor Spreading 
------------------ | ------- | ------------ | ------------------ 
Magnitude | Anticline | Ocean Trench | Supercontinent 
Intensity | Syncline | Mantle Flow | Hotspot 
Seismic Wave | Thrust Fault | Subduction Zone | Earth's Core 
Epicenter | Strike-Slip Fault | Continental Drift | Earth's Crust 
Hypocenter | Monocline | Plate Tectonics | Outer Core 
Seismogram | Unconformity | Rift Valley | Inner Core 
Aftershock | Reverse Fault | Mantle Bouyancy | Seismology 
Foreshock | Normal Fault | Oldest Rocks | Geothermal Gradient 
Fault Plane | Stratigraphy | Lithospheric Plates |Volcanology 
Fault Line | Superposition | Continental Plate | Geophysics 
Seismic Gap | Law of Original Horizontality | Oceanic Plate | Geodesy
