Biome | Characteristics | Latitude | Longitude | Climate | Ecosystem | Consumers | Producers | Decomposers 
---- | ---------------- | -------- | -------- | ------- | --------- | --------- | ---------- | ------------ 
Tundra | Lowplantdiversity | 71° N | 0° | Cold | Arctic | Lemmings | Mosses | Bacteria 
Taiga | Long winters | 65° N | 0° | Cold | Borealforest | Wolverines | Pine | Fungi 
Rainforest | Highproductivity | 30° N | 0° | Hot | Tropical | Monkeys | Tropicaltrees | Bacteria 
Desert | Low precipitation | 30° N | 0° | Hot | Xeric Shrubland | Roadrunner | Cactus | Protozoans 
Grassland | Fire | 40° N | 0° | Mild | Savanna | Predators | Grasses | Bacteria 
Temperate Forest | Richsoil | 40° N | 0° | Mild | TemperateWoodland | Hawks | Deciduous trees | Fungi 
Marsh | Water availability | 40° N | 0° | Humid | Wetland | Beaver | MarshGrass | Microorganisms 
Iceberg | Floating | 60° S | 0° | Frigid | Polar | Seals | None | Bacteria 
Prairie | Freezethawcycles | 40° N | 0° | Mild | Moor | Wolves | Grasses | Flies
