Supply |Demand | Supply & Demand | Price | Quantity 
Offer  | Want   | Resource Allocation |Cost   | Production
Goods  | Need   | Market Structure     |Rate   | Wage
Services  | Preference | Investment |Activity | Change 
Competition | Demand| Labour Market | Price | Acquisition
Price  | Interest | International Trade |Value  | Inflation
Supply | Preference| Monopoly |Market | Cost
Industry | Demand  | Budget Deficit   | Revenue | Demand
Demand  | Price  | International Economics | Exchange | Supply
Trade  | Choice  | Money Demand |Money | Inflation
Cost   |Demand  | Economic Development | Real | Resources
Monetary | Demand | Interest Rate | Level | Sales 
Supply  | Need  | Game Theory | Amount | Export
