Note|Musician|Octave|Tone|Harmony|Genre|Instrument|Rhythm|Dynamics|Sound|Lyric|Cadence
Piano|Mozart|High|F sharp|Major|Classical|Piano|Slow|Ff|Soft|Yes|Legato
Guitar|Hendrix|Low|C sharp|Minor|Rock|Guitar|Fast|Mp|Loud|No|Quick
Trumpet|Bach|Medium|G|Major|Jazz|Trumpet|Medium|Mf|Loud|No|Quick
Vocal|Pavarotti|High|G|Major|Opera|N/A|Slow|Mp|Soft|Yes|Legato
Saxophone|Coltrane|Low|F|Minor|Blues|Saxophone|Fast|Ff|Loud|No|Sharp
Violin|Nardini|Medium|D|Major|Folk|Violin|Medium|Mf|Soft|Yes|Legato
Flute|Joplin|High|A flat|Minor|Ragtime|Flute|Slow|Ff|Loud|No|Sharp
Lead Guitar|Prince|Low|E flat|Major|Funk|Lead Guitar|Fast|Mp|Soft|No|Jagged
Banjo|Carmichael|Medium|C|Minor|Country|Banjo|Medium|Mf|Loud|Yes|Legato
Drums|Hancock|High|A|Major|Fusion|Drums|Fast|Ff|Soft|No|Jagged
Cello|Royale|Low|F sharp|Minor|Baroque|Cello|Slow|Mp|Loud|Yes|Legato
Harp|Tchaikovsky|Medium|D flat|Major|Romantic|Harp|Medium|Mf|Soft|No|Sharp
Percussion|Gershwin|High|B flat|Major|Showtunes|Percussion|Fast|Ff|Soft|Yes|Quick
Oboe|Vivaldi|Low|G|Minor|Classical|Oboe|Medium|Mp|Loud|No|Jagged
Trombone|Jackson|Medium|E flat|Major|R&B|Trombone|Slow|Mf|Soft|Yes|Legato
Clarinet|Mancini|High|C|Minor|Disco|Clarinet|Medium|Ff|Loud|No|Sharp
Harmonica|Young|Low|A flat|Major|Blues|Harmonica|Fast|Mp|Soft|No|Jagged
Tuba|Berlioz|Medium|E|Minor|Symphonic|Tuba|Slow|Mf|Loud|Yes|Legato
