Kingdom | Division | Class | Order | Species | Subspecies | Total Chromosomes | Autosomal Chromosomes | Sex Chromosomes
Animalia | Chordata | Mammalia | Perissodactyla | Equus | caballus | 64 | 62 | 2
Eukaryota | Rhodophyta | Florideophyceae | Ceramiales | Ceramium | rubrum | 32 | 28 | 4
Plantae | Magnoliophyta | Magnoliopsida | Fabales | Glycine | max | 40 | 20 | 20
Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricus | bisporus | 28 | 28 | 0
Protozoa | Chromista | Oomycetes | Saprolegniales | Aphanomyces | cochlioides | 12 | 12 | 0
Animalia | Echinodermata | Asteroidea | Valvatida | Asterina | gibbosa | 23 | 21 | 2
Animalia | Mollusca | Gastropoda | Neritopsina | Neritina | reclivata | 32 | 14 | 16
Eukaryota | Viridiplantae | Chlorophyta | Ulvophyceae | Caulerpa | lentillifera | 34 | 28 | 6
Animalia | Crustacea | Copepoda | Calanoida | Acartia | tonsa | 60 | 46 | 14
Animalia | Amphibia | Anura | Ranidae | Rana | pipiens | 52 | 24 | 28
Plantae | Pinophyta | Pinopsida | Cupressaceae | Callitris | columellaris | 45 | 22 | 23
