Aggregate  | Corporation | Externalities  | GDP | Resources
Trade      | Companies | Benefits      | Output | Inputs
Money      | Profits   | Costs         | Costs  | Output
Demand     | Output    | Production    | Revenue | Investment
Economic   | Capital   | Economy-Wide  | Growth | Allocation
Output     | Wealth    | Market Failure | Value  | Unilateral
Global     | Profitability | Private Costs | Income | Investment
Markets    | Transactions | Private Benefits | Equity | Exchange
Finance    | Income   | Efficiency      | Supply | Secondary
Monetary   | Spending  | Social Costs    | Policy | International
Economic   | Wages    | Production Possibilities | Line | Output 
Exchange   | Money Supply | Market System | Structure | Risk
