Name | Tip | Variety | Height | Foliage | Blooms | Water | Light | Gardening Products
Shovel | Plant | Bush-Type | Short | Glossy | Showy | Regular | Part Shade | Plant Food
Trowel | Prune | Tree-Type | Tall | Fuzzy | Fragrant | Deep | Full Sun | Compost
Weeder | Weed | Dwarf-Type | Medium | Speckled | Unscented | Drought Tolerant | Bright | Manure
Fertilizer | Rotate | Annual | | Coarse | Double | Infrequent | Filtered | Sprinklers
Pruners | Mulch | Perennial | | Waxy | White | Contrary | Dark | Hoses
Fork | Transplant | Twisted | | Curly | Orange | Little | Artificial | Fences
Scissors | Water | Leafy | | Thin | Pink | Soaking | All | Grass
Hose | Plant | Stemmed | | Spotted | Variegated | Regular | Yellow | Clippings
Marker | Fertilize | Trailing | | Feathered | Blue | Heavy | Reddish | Pebbles
Plant Label | Aerate | Haired | | Irregular | Purple | Sporadic | Green | Weed Barrier 
Rake | Groom | Low-Growing | | Veined | Yellow | Moderate | Indigo | Irrigation
Push Broom | Thin | Bristled | | Fancy | Brown | Sprinkling | Magenta | Structures
Watering Can | Layer | Spiny | | Rounded | Rainbow | Communal | Infrared | Pots
Wheelbarrow | Amend | Spreading | | Angular | Gold | Abundant | Ultraviolet | Seeding
Shears | Shape | Loose-Growth | | Drooping | Tipped | Systematic | Moonlight | Seeds
Pitchfork | Divide | Blunt-Leaf | | Scalloped | Plain | Drying | Incandescent | Planters
