Geomancy|Points|Cancer|Scorpio|Libra|Taurus|Sagittarius|Gemini|Aquarius|Pisces|Leo|
Chevreul|4|11|3|2|8|4|15|10|13|1|
Romani|14|8|14|1|12|1|2|8|3|13|
Rational|7|13|7|14|10|3|13|4|1|12|
Chiromancy|1|15|8|15|15|2|4|10|11|7|
Modem|6|1|9|9|6|13|14|3|14|2|
Egyptian|3|7|10|6|13|5|7|2|6|9|
Aesc|16|6|1|4|4|15|8|8|7|15|
Hermes|13|12|2|12|5|12|1|6|4|6|
Natural|9|5|13|5|2|9|11|12|5|5|
Gold|12|3|14|3|1|5|16|9|13|4|
Beacon|5|2|4|7|11|10|12|5|2|14|
Guardian|2|10|11|13|3|7|5|11|10|3|
Horary|15|4|5|11|9|8|14|1|12|9|
Trinitarian|11|14|6|8|7|6|3|7|15|8|
Scotch|10|11|12|10|14|11|2|4|8|13|
Crooked|8|9|15|16|15|14|10|15|9|11|
