Range | Domain | Mean | Median |
Squares | Whole numbers | Positive numbers | 0 |
Cubes | Whole numbers | Positive numbers | 0 |
Rational numbers | Whole numbers | +ve and -ve numbers | 0 |
Irrational numbers | Whole numbers | +ve and -ve numbers | n/a |
Polynomials | Whole numbers | Positive numbers | 0 |
Quadratic equations | Whole numbers | Positive numbers | 0 |
Linear equations | Whole numbers | Positive numbers | 0 |
Exact equations | Whole numbers | Positive numbers | 0 |
Half-Angles | Whole numbers | Positive numbers | 0 |
Absolute Value | Whole numbers | Positive numbers | 0 |
Multiple angles | Whole numbers | Positive numbers | 0 |
Logarithms | Whole numbers | Positive numbers | 0 |
Trigonometry | Whole numbers | Positive numbers | 0 |
Variables | Any | +ve and -ve numbers | n/a |
Inverse functions | Whole numbers | Positive numbers | 0 |
