Sovereignty | Security Council | Treaty | Sovereignty | Partition | Authorization | Resolution | Sanction 
------------------ | ------------------- | ---------------- | ---------------- | ---------------- | ------------------ | ------------------ | ---------------
Westphalia | Permanent Members | Non-Proliferation | Self-Determination | Borders | Regime Change | UN | Embargo 
Customs Union | Non-Permanent Members | Comprehensive Test | Supremacy | Territorial | Civil War | Peacekeeping | International Law 
Soft Power | Veto Power | United Nations | Autonomy | Self-Government | Sanctions | Counter Terrorism | Maritime 
Monarchy | Charter | Kyoto Protocol | Democracy | Statehood | Intervention | Coercion | Arms Control 
Norms | Chapter VII | Paris Agreement | Republic | Micro-State | Mediation | Deterrence | Dual-Use 
Commonwealth | General Assembly | JCPOA | Protectorate | Autonomous | Palestinian-Israeli | Procedure | Proliferation 
Colonization | Resolution | CAATSA | Annexation | Unilateral | Proxy War | Preemptive | Unjust War 
Mercantilism | Working Group | GATT | Imperialism | Federation | Balance of Power | Precautionary | Nuclear Arms
