Geomancy|Tail|Alter|Conjunctio|Laetitia|Carre Magique|Acquisitio|Puer Position|Populus|Albus Position|
Verditius|3 Wiggles|11|12|7|7|5|9|9|15|
Obscurans|4 Lines|10|13|12|6|15|5|14|4|
Paian|Circles|14|2|1|2|8|4|3|1|
Puer Minor|Heart|6|3|11|4|2|3|15|16|
Amissa|Pentagram|7|15|10|15|4|1|5|6|
Gnomon|Triangle|2|5|4|3|10|2|13|8|
Fortuna Maior Position|Square|8|1|2|14|14|15|4|2|
Via Position|Cross|9|11|13|1|12|14|16|12|
Almutens|Hexagram|5|4|9|5|7|6|1|3|
Rubeus Position|Quadrangle|12|10|5|9|13|13|12|7|
Via Recta|Diamond|4|8|8|13|11|12|6|11|
