Earthquakes | Hotspots | Erosion | Weathering 
------------------------ | ---------- | ------ | ---------
Seismic Waves | Volcanoes | Mass Wasting | Frost 
Ground Motion | Magma Plumes | Soil Creep | Chemical 
Shaking | Mantle Plumes | Rock Deformation | Bioerosion 
Richter Scale | Sub-Plate | Mass Movement | Oxidation-Reduction 
Seismology | Column Melting |Karst | Freeze-Thaw Cycles 
Seismic Hazard | Mantle Plumes |Abrasion | Radiometric Dating 
Seismic Moment | Hot Spots | Deposition | Isostacy 
Wave Propagation | | Gravitational | Thermal Expansion 
 | | Magma Upwelling | Compressional Deformation 
 | | Cooling Magma | Extensional Deformation 
 | | | Orogeny
