Ordered Pair | Quadrant | Axis | Quadrilateral |
(5, 0) | I | y-axis | n/a |
(4, 3) | II | x-axis | Parallelogram |
(-4, 3) | III | x-axis | Rhombus |
(-2, -2) | IV | y-axis | Rectangle |
(3, -3) | I | x-axis | Square |
(-2, 3) | II | y-axis | Trapezoid |
(3, 4) | III | y-axis | n/a |
(5, -4) | IV | x-axis | n/a |
(2, -1) | I | y-axis | Kite |
(1, 5) | II | x-axis | n/a |
(-3, 2) | III | y-axis | n/a |
(-4, -5) | IV | x-axis | n/a |
(-5, 3) | I | y-axis | n/a |
(-1, 0) | II | x-axis | n/a |
(0, 0) | III | n/a | n/a |
(4, -4) | IV | y-axis | n/a |
(3, -2) | I | x-axis | n/a |
(-5, 4) | II | y-axis | n/a |
