Tectonic Plate Boundaries | Continental Drift | Rock Cycle | Earthquakes 
---------------------------------- | ------------------ | ----------- | -------------- 
Transform Fault | Sea Floor Spreading | Intrusive Igneous | Seismic Waves 
Rift Zone | Continental Collision | Extrusive Igneous | Focus 
Subduction | Mid-Ocean Ridge | Sedimentary Rocks | Epicentre  
Collision | Horst and Graben | Metamorphic Rocks | Magma Chamber 
Trench | Oceanic Plate | Strike-Slip Fault | Volcanic Eruption 
Shear Zone | Magnetic Anomalies | Rock Deformation | Fault Line 
Paleomagnetism | Remanent Magnetization | Plate Tectonics | Liquefaction 
Plate Boundary | Geomagnetic Reversals | Earthquakes | Tsunamis 
Isothermal Remanent Magnetism | Magnetic Dipole | Mass Movement | Stress
