Party | Year | Leader | Ideology | Popularity | Issue 6 | Issue 7 | Issue 8 | Issue 9 | Issue 10 | Issue 11 | Issue 12 | Issue 13 | Issue 14 |
Democrat | 2018 | John Smith | Liberal | High | Civil Rights |  Discrimination | Job Creation | Unemployment | Economic Policies  | Budget Deficit | Trade  | National Security | Government Spending |
Republican | 2018 | Joe Jones | Conservative | Moderate | Civil Rights | Discrimination | Job Creation | Immigration | Economic Policies  | Budget Deficit | Army | Human Rights | Election Fraud |
Democrat | 2020 | Tara Lopez | Liberal | Low | Welfare | Discrimination | Job Creation | Immigration | Economic Policies | Budget Deficit | Navy | Drug Control | Human Rights |
Republican | 2020 | Mike Hamilton | Conservative | High | Welfare | Discrimination | Job Creation | Unemployment | Economic Policies | Budget Deficit | Air Force | Drug Control | Election Fraud |
Independent | 2018 | Jim Wilson | Progressive | High | Civil Rights | Discrimination | Job Creation | Immigration | Economic Policies | Budget Deficit | Marines | National Security | Government Spending |
Independent | 2020 | Sarah Peters | Progressive | Moderate | Welfare | Discrimination | Job Creation | Unemployment | Economic Policies | Budget Deficit | Coast Guard | Human Rights | Election Fraud | 
Republican | 2018 | Paul Harris | Conservative | Moderate | Civil Rights | Discrimination | Job Creation | Immigration | Economic Policies | Budget Deficit | Army | National Security | Government Spending |
Democrat | 2020 | Mary Finn | Liberal | High | Welfare | Discrimination | Job Creation | Unemployment | Economic Policies | Budget Deficit | Navy | Drug Control | Human Rights |
Independent | 2018 | Jack White | Progressive | Low | Civil Rights | Discrimination | Job Creation | Immigration | Economic Policies | Budget Deficit | Marines | Human Rights | Election Fraud | 
Republican | 2020 | Dave Anderson | Conservative | Low | Welfare | Discrimination | Job Creation | Unemployment | Economic Policies | Budget Deficit | Air Force | National Security | Government Spending |
