Price|Support|Resistance|Timeframe|Volume|Relative Strength|Trend|Moving Average|Bollinger Bands|Momentum|MACD|RSI
Price|Go Up|Ceilings|Long-term|Units|Index|Bullish|Average|Range|Rise|Indicator|Strength
Support|Go Down|Floors|Medium-term|Quantities|Strength|Bearish|High/Low|Bands|Slow|Histogram|Oscillator
Resistance|Rise/Fall|Support/Resistance|Short-term|Transactions|Cash Flow|Range|Opening/Closing|Upper/Lower|Speed|Lines|Ratio
Timeframe|Shift|Levels|Current|Trades|Debt|Consolidation|Single|Upper/Lower|Velocity|Crossover|Bar
Volume|Fluctuate|Turning|Previous|Turnover|Balance|Uptrend|Hertz|Bands|Acceleration|Divergence|Line
Relative Strength|Vary|Highs/Lows|Near-term|Volume|Securities|Downtrend|Frequency|Extreme|Deceleration|Convergence|Show
Trend|Change|Band|Future|Moves|Ratio|Sideways|ohm|Averages|Adjustment|Carries|Graph
Moving Average|Shift|Obstacle|Period|Deal|Profit/Loss|Reversal|Voltage|Bollinger|Momentum|Cross|Failure
Bollinger Bands|Move|Resistance/Support|Interval|Transactions|Loss/Gain|Retracement|Watts|Deviation|Momentum|Crossovers|Counter
Momentum|Fluctuate|Pivot|Tick|Buys/Sells|Asset|Breakout|Amps|Indicators|PACE|Whipsaw|Fluctuation
MACD|Vary|Hurdles|Cycle|Activity|Liability|Breakdown|Hertz|Analysis|Growth|Swings|Wave
RSI|Change|Limit|Day|Flow|Equity|Rally|Volts|Trends|Trend|Zigzag|Study
