| Word      | Definition | Synonyms           | Origin    | Variations | Attitude  | Classification |
| -------- | ----------- | ----------------- | --------- | ---------- | --------- | ----------- |
| Atlas    | Mountain Titan | Celedon, Iapetus | Greek     |            | Neutral   | Titanurm    |
| Odysseus | Greek hero    | Ulysses,Persona   | Greek     | Sisyphus  | Neutral   | Hero       |
| Cronus   | God of Time   | Saturn, Chronos   | Greek     | Satyr     | Neutral   | God        |
| Zeus     | Sky god       | Jove, Jupiter     | Greek     | Fenrir    | Neutral   | God        |
| Charon   | Underworld    | Lethe, Sisyphus  | Greek     | Cerberus  | Neutral   | Psychopomps |
| Poseidon | God of Oceans | Neptune, Deluge   | Greek     | Hades     | Neutral   | God        |
| Ares     | God of War    | Mars, Bellona    | Greek     | Typhon    | Negative  | God        |
| Helios   | Sun god       | Apollo, Sol       | Greek     | Sol Invictus | Neutral   | God        |
| Hecate   | Goddess Witch | Acherusia        | Greek     | Sishas    | Negative  | Goddess     |
| Dionysus | God of Wine   | Bacchus, Liber    | Greek     | Fenrir    | Neutral   | God        |
| Hades    | God Underworld | Pluto, Orcus     | Greek     | Sishas    | Negative  | God        |
