Comet | Meteor | Quasar | Solar System | Bessell | Nebula | Supernova |
Halley's | Diviner | Markarian | Milky Way | UBV | Horsehead | SN 1987A |
Encke | Chelyabinsk | 3C 273 | Solar |  BVRI | Helix | SN 1006 | 
Shoemaker-Levy | Ch'ing-yang | 3C 279 | Uranus | Pictor | Rosette | SN 1054 |
Swift-Tuttle | Kientepoos | 3C 441 | Neptune | Aquila | Orion | SN 1572 |
Hill | Tunguska | OJ 287 | Jupiter | Cygnus | Lagoon | SN 1604 |
Tempel 1 | Zoroaster | BL Lacertae | Saturn | Lyra | Carina | SN 1885A |
ISON | Perseid | PKS 0537-441 | Venus | Sagittarius | Trifid | SN 1993J |
Starley | Leonid | S5 0014+81 | Earth | Scorpius | Crab | SN 2011dh |
Astronomy | Photometry | Adaptive | Telescopes | Reflecting | Polarimetry | Interferometry | Binoculars | Adaptive | Imaging | Visuals | Observation
Sun | Coronal | Laser | Lenses | Mirrors | Circular | Visibility | Optics | Autofocus | Digital | Lens | Telescopic
Mercury | Emission | Aperture | Astroscope | Chromatic | Linear | Angular | Viewer | Zoom | CCD | Binocular | Astronomical
Venus | Reflection | F-stop | Hubble | Curvature | Dipole | Measurements | Magnifier | Exposure | Infrared | Camera | Nighttime
Earth | Absorption | Shutter | Chandra | Parabola | Polarization | Photometry | Autoscope | Flash | Digital | Telescope | Daylight
Mars | Scattered | Focus | XMM | Refraction | Amplitude | Differential | Monocular | Modes | Video | Irregular | Ground
Jupiter | Radiation | Image | Galileo | Ellipsoid | Mueller | Diffraction | Eyepiece | Sensitivity | Optical | Objective | Amateur
Saturn | Wavelength | Lens | Cassini | Aspheric | Ellipticity | Rings | Binoculars | Metering | Sky Survey | Alignment | Professional
Uranus | Refraction | Zoom | GALEX | Concave | Panchroview | Parallax | Calculator | AF Points | Ultraviolet | Binocular | Industrial
Neptune | Reflectivity | Magnification | Vikram | Convex | Stokes | Speckle | Equipments | White Balance | Gamma-Ray | Tripod | Scientific
Pluto | Transmittance | Short | GRAVITY | Optics | Temporal | Interferogram | Zoom | ISO | Microwave | Digital | Electronic
