Geomancy|Head|Fortuna Minor|Mars|Jupiter|Venus|Saturn|Sun|Moon|
Chevreul|Many Leaves|9|7|3|8|8|6|2|
Romani|Deer Tracks|5|13|9|6|3|2|12|
Rational|Cut Reeds|8|6|15|14|14|13|2|
Chiromancy|Claws|13|12|3|7|9|15|10|
Modem|Axe|13|15|8|14|9|2|8|
Egyptian|Gates|14|2|10|13|13|14|3|
Aesc|Wrapped Twig|2|7|4|12|15|12|6|
Hermes|Two Birds|10|14|7|5|15|5|2|
Natural|Forest|11|6|1|13|4|14|12|
Gold|Vulture|15|2|15|6|10|13|3|
Beacon|Staff|1|4|7|15|3|7|15|
Guardian|Cobra|7|16|2|2|14|14|1|
Horary|Owl|3|9|6|3|4|15|7|
Trinitarian|Shell|4|14|9|11|12|8|2|
Scotch|Pin|6|1|13|1|11|2|8|
Crooked|Wheel|12|11|11|11|7|8|13|
