Family | Latin Name | Kingdom | Phylum | Class | Order | Genus | Species | Size 
Amphibia| Rana pipiens | Eukarya | Chordata | Amphibia| Anura| Rana| pipiens| Small 
Amphibia | Bufo americanus | Eukarya | Chordata | Amphibia | Anura | Bufo | americanus | Medium 
Amphibia | Salamandra salamandra | Eukarya | Chordata | Amphibia | Caudata | Salamandra | salamandra | Small 
Fish | Cyprinus carpio | Eukarya | Chordata | Actinopterygii | Cypriniformes | Cyprinus | carpio | Medium 
Fish | Lepomis gibbosus | Eukarya | Chordata | Actinopterygii | Perciformes | Lepomis | gibbosus| Small 
Invertebra | Octopus vulgaris | Eukarya | Mollusca | Cephalopoda | Octopoda | Octopus| vulgaris | Medium 
Invertebrae | Aplysia californica | Eukarya | Mollusca | Gastropoda | Aplysiomorpha| Aplysia | californica | Small 
Invertebrate | Araneus diadematus | Eukarya | Arthropoda | Arachnida | Araneae | Araneus| diadematus | Small 
Invertebrate | Tenebrio molitor |Eukarya |Arthropoda | Hexapoda| Coleoptera |Tenebrio | molitor | Small 
Invertebrate | Calliphora vicina | Eukarya | Arthropoda | Hexapoda | Diptera | Calliphora| vicina | Small
