Geomancy|Puer/Servus|Chevreul|Radiant Star|Six Pointed Star|Romani|Mutational|Natural|Hermomancy|Beacon|Egyptian|Gold|Aesc|Guardian|Horary|
Scorpio|15|6|16|8|10|9|11|1|12|14|15|2|5|7|3|
Aquarius|4|2|4|7|4|2|6|14|4|13|3|13|3|11|12|
Cancer|12|7|15|3|8|15|9|5|3|7|1|7|16|4|8|
Leo|11|5|1|11|7|6|5|2|10|8|6|5|13|9|14|
Virgo|7|1|14|5|3|5|2|4|9|10|4|15|4|8|11|
Libra|3|4|10|12|5|12|1|7|7|6|15|11|12|13|9|
Taurus|14|10|7|9|11|8|7|10|13|5|2|12|9|14|4|
Gemini|2|11|6|2|2|4|4|13|8|4|8|4|7|15|13|
Sagittarius|6|12|5|4|6|3|3|15|14|11|11|3|1|2|7|
Pisces|13|3|13|14|1|11|8|12|11|2|12|1|15|3|5|
Aries|1|8|12|6|9|13|12|3|5|3|13|10|2|6|10|
Capricorn|9|13|3|15|12|10|10|6|1|9|5|14|8|12|15|
