Planet | Star | Dwarf Planet | Constellation | Moon | Asteroid |
Earth | G-Type | Ceres | Leo | Luna | Ida | 
Venus | A-Type | Pluto | Andromeda | Phobos | Gaspra | 
Mars | F-Type | Makemake | Virgo | Deimos | Chiron | 
Jupiter | M-Type | Haumea | Ursa Minor | Io | Eros | 
Saturn | K-Type | Eris | Orion | Dione | Mathilde | 
Uranus | B-Type | Charon | Cepheus | Titania | Kleopatra | 
Neptune | O-Type | -- | Aquila | Triton | 4 Vesta | 
Mercury | Y-Type | -- | Taurus | Calisto | Geographos |
Pluto | D-Type | -- | Hercules | Nix | Hygiea |
Astronomy | Electromagnetic | Magnetism | Chemistry | Structural | Measuring | Simulations | Extragalactic | Exoplanets | Gravitational
Sun | Radio Waves | Sunspot | Fusion | Planets | Magnitude | Star Clusters | Ultracompact | Brown Dwarf | Big Bang
Mercury | Laser | Corona | Abundance | Moons | Angular Distance | Supernova | Mergers | Hot Jupiter | Black Hole
Venus | Visible | Solar Wind | Isotopes | Asteroids | Parallax | Reionization | Quasars | Earth-Like | Inflation
Earth | Radiowaves | Shield | PH Scale | Comets | Right Ascension | Chemical Evolution | Binary | Transiting | Oscillations
Mars | Gamma | Prominence | Mass-Energy | Meteors | Declination | Galactic Winds | Pairs | T-Type | String Theory
Jupiter | Reflection | Heliosheath | Chemistry Rules | Meteor Showers | Radial Velocity | Hubble Mechanism | Dynamical | Hot Neptune | Multiverse
Saturn | Ultraviolet | Interplanetary | Celestial Bodies | Kuiper Belt | Synodic Period | Age-Metallicity | Symmetry | Super-Earth | Wormholes
Uranus | Neutrinos | Heliosphere | Reactions | Centaurs | Telescopes | Hierarchical | Interactions | Hot Super-Earth | Wimp Hypothesis
Neptune | X-rays | Heliopause | Mass Spectroscopy | Obits | Orbits | Cosmological | Groups | Exo-Packman | Supergravity
Pluto | Infrared | Magnetotail | Molecule Formation | Pressure | Mass | Thermodynamic Equilibrium | Clusters | Ice Giants | Small Anomalies
