Expression | Term | Variable | Constant | 
sin3x | Sine | 3x | n/a | 
cos3x | Cosine | 3x | n/a | 
tan3x | Tangent | 3x | n/a | 
cot3x | Cotangent | 3x | n/a | 
csc3x | Cosecant | 3x | n/a | 
sec3x | Secant | 3x | n/a | 
sin4x | Sine | 4x |  n/a |
cos4x | Cosine | 4x | n/a | 
tan4x | Tangent | 4x | n/a | 
cot4x | Cotangent | 4x | n/a | 
csc4x | Cosecant | 4x | n/a | 
sec4x | Secant | 4x | n/a | 
sin5x | Sine | 5x | n/a | 
cos5x | Cosine | 5x | n/a | 
tan5x | Tangent | 5x | n/a | 
cot5x | Cotangent | 5x | n/a | 
csc5x | Cosecant | 5x | n/a | 
sec5x | Secant | 5x | n/a |
