Note|Tuning|Harmony|Chord|Scales|Tone|Interval|Melody|Tempo|Harmony|Lyric
F sharp|Tight|Major|Major 7th|Natural|F sharp|Unison|One Voice|Allegro|I IV V7|Yes
C sharp|Loose|Minor|Minor 7th|Major|C sharp|Minor 3rd|Sequential|Largo|I VI VII|No
G|Standard|Major|Major 7th|Harmonic|G|Major 3rd|Descending|Moderato|I IV V|No
F|Standard|Minor|Minor 7th|Blues|F|Major 6th|Ascending|Vivace|I V VI|No
D|Tight|Major|Major 7th|Ionian|D|Minor 7th|Reverse|Andante|I V VI|Yes
E flat|Loose|Minor|Minor 7th|Chromatic|E flat|Augmented 4th|Call-and-response|Presto|I VI VII|No
B|Tight|Major|Major 7th|Pentatonic|B|Major 2nd|One-part|Adagio|I IV VII|No
E|Standard|Minor|Minor 7th|Whole Tone|E|Diminished 5th|Two-part|Allegretto|I III VI|No
A|Standard|Major|Major 7th|Lydian|A|Minor 2nd|Three-part|Andantino|I II V|No
D sharp|Tight|Minor|Minor 7th|Mixolydian|D sharp|Major 7th|Four-part|Prestissimo|I IV I|No
F sharp|Loose|Major|Major 7th|Dorian|F sharp|Augmented 5th|Five-part|Moderato|I V VI VII|Yes
