Kingdom | Phylum | Class | Species | Genus | Common Name | Average Length | Reproductive System 
Animalia | Chordata | Actinopterygii | Salmo trutta | Salmo | Brown Trout | 25 cm | Oviparous 
Animalia | Chordata | Amphibia | Bufo bufo | Bufo | Common Toad | 10 cm | Oviparous 
Animalia | Chordata | Reptilia | Chelonia mydas | Chelonia | Green Turtle | 75 cm | Oviparous 
Animalia | Chordata | Aves | Anas platyrhynchos | Anas | Mallard Duck | 50 cm | Oviparous 
Animalia | Mollusca | Gastropoda | Haliotis tuberculata | Haliotis | Abalone | 25 cm | Oviparous 
Animalia | Chordata | Mammalia | Mustela vison | Mustela | American Mink | 50 cm | Viviparous
Animalia | Chordata | Aves | Columba palumbus | Columba | Pigeon | 30 cm | Oviparous 
Animalia | Chordata | Actinopterygii | Cyprinus carpio | Cyprinus | Common Carp | 50 cm | Oviparous 
Animalia | Arthropoda | Insecta | Apis mellifera | Apis | Honeybee | 15 mm | Viviparous 
Animalia | Chordata | Actinopterygii | Cyprinidae spp. | Cyprinidae | Minnow Fish | 3 cm | Oviparous 
Animalia | Chordata | Aves | Falco peregrinus | Falco | Peregrine Falcon | 60 cm | Oviparous
Animalia | Chordata | Mammalia | Lepus europaeus | Lepus | European Hare | 40 cm | Viviparous 
Animalia | Chordata | Aves | Struthio camelus | Struthio | Ostrich | 200 cm | Oviparous 
Animalia | Chordata | Aves | Corvus corone | Corvus | Western Jackdaw | 45 cm | Oviparous 
Animalia | Chordata | Mammalia | Ursus arctos | Ursus | Brown Bear | 250 cm | Viviparous 
Animalia | Chordata | Mammalia | Canis lupus | Canis | Grey Wolf | 80 cm | Viviparous 
Animalia | Chordata | Aves | Parus caeruleus | Parus | Blue Tits | 15 cm | Oviparous 
Animalia | Chordata | Reptilia | Testudines spp. | Testudines | Turtles | 50 cm | Oviparous 
Animalia | Chordata | Mammalia | Gulo gulo | Gulo | Wolverine | 100 cm | Viviparous
