Faith|Proofs|Opinion|Evidence|
Reverence|Artificial|Reliable|Testimony|
Mysticism|Deductive|Fallacy|Scripture|
Experiential|Inductive|Authority|Archaeology|
Dogma|Hypothetical|Subjective|Inference|
Fundamentalism|Analogy|Uncertain|Equation|
Holism|Cause|Subjectivism|Mathematics|
Relativism|Syllogism|Unbiased|Assumption|
Agnosticism|Proof|Distortion|Interpretation|
Naturalism|Purpose|Misleading|Analysis|
Objectivism|Calculus|Provocation|Paradigm|
Rationalism|Principle|Lies|Greek Mythology|
Pantheism|Reason|Credulity|Observation|
Deism|Law|Untrue|Experiment|
