Year | Ideology | Popularity | Candidate | Issue 1 | Issue 2 | Issue 3 | Issue 4 | Issue 5 | Issue 6 | Issue 7 | 
2018 | Liberal | High | John Smith | Healthcare | Immigration | Foreign Policy | Gay Rights | Climate Change | Education | Trade | 
2018 | Conservative | Moderate | Joe Jones | Healthcare | Immigration | Tax Reform | Abortion | Gun Control | Education | Trade | 
2020 | Liberal | Low | Tara Lopez | Education | Trade | Infrastructure | Gun Control | Voter Rights | Healthcare | Immigration | 
2020 | Conservative | High | Mike Hamilton | Education | Trade | Fossil Fuels | Abortion | Environmental Policies | Healthcare | Immigration | 
2018 | Progressive | High | Jim Wilson | Healthcare | Immigration | Gun Control | Racial Equality | Immigration | Education | Trade | 
2020 | Progressive | Moderate | Sarah Peters | Education | Trade | Climate Change | Gay Rights | Foreign Policy | Healthcare | Immigration | 
2018 | Conservative | Moderate | Paul Harris | Healthcare | Immigration | Tax Reform | Abortion | Gun Control | Education | Trade | 
2020 | Liberal | High | Mary Finn | Education | Trade | Infrastructure | Gun Control | Voter Rights | Healthcare | Immigration | 
2018 | Progressive | Low | Jack White | Healthcare | Immigration | Fossil Fuels | Racial Equality | Immigration | Education | Trade | 
2020 | Conservative | Low | Dave Anderson | Education | Trade | Climate Change | Abortion | Environmental Policies | Healthcare | Immigration |
