Rock Type | Age | Elements | Chemical Composition 
--------------- | --- | -------- | ------------------- 
Igneous | Precambrian | Si | Felsic  
Metamorphic | Cenozoic | Al | Mafic 
Sedimentary | Mesozoic | Fe | Ultramafic 
Volcanic | Paleozoic | K | Feldspathic 
Metasomatism | Quaternary | O | Carbonaceous 
Petrology | Neogene | Ca | Siliceous 
Intrusive | Palaeogene | Mg | Aphanitic
Plutonism | Holocene | Na | Porphyritic 
Magma Chamber | Pleistocene | H | Pyroclastic 
Tectonism | Miocene | Ti | Granitoid 
Ore Deposits | Pliocene | S | Basaltic
