| Word          | Definition      | Synonyms      | Origin          | Elemental | Humanoid   |
| ----------- | ------------- | -------------- | ------------- | -------------- | --------- | --------- |
| Rokurokubi  | Long-necked    | Aka-mageto     | Japanese       | -              | Yes       | Yes       |
| Kitsune     | Fox-spirit     | Kumiho, Kudagitsune | Japanese      | Fire, Illusion | No        | No        |
| Oni         | Ogre-like      | Ogress         | Japanese       | -              | Yes       | Yes       |
| Kappa       | Water creature | Kawako         | Japanese       | Water          | No        | Yes       |
| Yokai       | Phantom-like   | Macabre creatures  | Japanese       | -              | No        | Yes       |
| Akuma       | God-demon      | Oni-akuma      | Japanese       | Fire, Shadow   | No        | Yes       |
| Yurei       | Ghost-like     | Onryoji        | Japanese       | -              | No        | No        |
| Bakekujira  | Ghost-whale    | -              | Japanese       | -              | No        | No        |
| Mujina      | Shapeshifting  | Bake-danuki    | Japanese       | Illusion       | No        | No        |
| Mugo        | Forest dweller | Tenkou         | Japanese       | Illusion       | No        | Yes       |
| Kamaitachi  | Weasel-spirit  | Kamaitachi, Enen-no-Kami  | Japanese      | Water, Air    | No        | No        |
| Tokei-jka   | Time keeper   | -              | Japanese       | Illusion       | No        | Yes       |
| Majin       | Demon          | Akuma-no-Kitsune  | Japanese      | Lightning      | No        | Yes       |
| Shikigami   | Paper-spirit   | -              | Japanese       | Fire, Air      | No        | No        |
| Shinigami   | Death spirit   | -              | Japanese       | -              | No        | Yes       |
| Saru-bake   | Monkey ghost   | Sarugami       | Japanese       | -              | No        | No        |
| Nuppeppou   | Fire spirit    | Akai-boushi    | Japanese       | Fire           | No        | No        |
| Jorogumo    | Spider-woman   | Jorougumo      | Japanese       | Illusion       | No        | Yes       |
| Kasha       | Fire-cart      | Bikuni-Kasha   | Japanese       | Fire           | No        | No        |
| Gashadokuro | Skeleton giant | Rooguro        | Japanese       | -              | No        | No        |
| Akaname     | Licking fiend  | Fushi-tori     | Japanese       | -              | No        | No        |
