Planet | Star | Dwarf Planet | Constellation | Moon | Satellite | Asteroid | Star System |
Earth | Sol | - | The Plough | The Moon | Echo | Agamemnon | The Solar System |
Venus | Alpha Centauri | - | Lyra | - | - | - | Alpha Centauri System |
Mars | Proxima Centauri | - | Cygnus | Phobos | Deimos | Deimos | Proxima Centauri System |
Jupiter | Barnard's Star | - | Aquarius | Io | Europa | Amalthea | Barnard's Star System |
Saturn | Wolf 359 | - | Pisces | Titan | Phoebe | Aegaeon | Wolf 359 System |
Uranus | Luyten's Star | - | Pegasus | Miranda | Titania | Euporie | Luyten's Star System |
Neptune | UV Ceti | - | Aquila | Triton | Nereid | Elara | UV Ceti System |
Kepler-22b | Red Dwarf | - | Hercules | - | - | - | Red Dwarf System |
Alpha Centauri Bb | - | - | - | - | - | - | Alpha Centauri Bb System |
Proxima B | - | - | - | - | - | - | Proxima B System |
