Plant | Variety | State | Climate | Organic | Harvest | Disease | Pest Control | Mulching | Storage | Heirloom
Apple |Granny Smith |Idaho| Semi-arid |Yes | Oct-Nov | Fire Blight |Calcium Carbonate | Leaf Mold | Cool Dry | Yes
Pear |Bartlett |Oregon | Mediterranean | No | April-May | Powdery Mildew | Neem Oil | Straw | Refrigerator |No
Cherry |Rainier |Michigan | Humid |Yes |June-July |Brown Rot |Bacillus thuringiensis | Cocoa Bean Hulls | Room Temperature | Yes
Raspberry |Bountiful |Florida| Subtropical | No | Fall | Anthracnose | Insecticidal Soap | Pine Bark: | Cool and Dark | No
Peach |August Pride |California | Dry | Yes | August-September | Canker | Rotenone | Grass Clippings | Cool and Dark | Yes
Blueberry |Jubilee |Georgia |Humid Subtropical |No | June-July | Botrytis | Spinosad | Sawdust | Refrigerator |No
Watermelon |Crimson Sweet |Arizona |Arid |No | July-August | Alternaria | Pyrethrin | Peat Moss | Cool Dry | Yes
Grape |Concord |Texas |Tropical |No | August-September | Downy Mildew | Copper Fungicides | Wood Chips | Cool and Dry |No
Strawberry |Temptation |New York | Humid |Yes | June-July | Verticillium Wilt | Insect Traps | Compost | Refrigerator | Yes
Carrot |Nantes |Minnesota |Subarctic |Yes |July-August | Root Rot | Trichoderma | Corncob Meal | Refrigerator | Yes
Eggplant |Neon |Illinois |Humid Subtropical |No | August-September | Blossom End Rot| Horticultural Oil | Oat Straw | Cool and Dry |No
Avocado |Hass |Hawaii |Tropical |Yes | October-November | Phytophthora Rot | Hot Pepper Wax | Mulch | Room Temperature |No
Cucumber |Lemon |Pennsylvania | Humid |No | July-August | Bacterial Wilt | Parasitic Wasps | Grass Clippings | Refrigerator |No
Squash |Acorn |Missouri |Humid Continental |Yes | August-September | Angular Leaf Spot | Imidachloprid | Hay | Cool Dry | Yes
Asparagus |Jersey Knight |Massachusetts |Maritime |No | July-August | Rust | Double Fishing Line | Coconut Coir | Refrigerator | No
