Tech|Source|Mechanism|Capacity|Software|Category|Task|Interface|Support|Control
Computer|Desktop|BIOS|64GB|Office 365|PC|Data Analysis|USB|24/7|User
Laptop|Notebook|Chipset|32GB|Google Docs|Notebook|Spreadsheet|HDMI|9-5|Administrator
Tablet|Tablet|Power Supply|16GB|Draft App|Tablet|Word Processing|HD Port|Evenings|Developer
Webcam|Web-based|Camera Lens|8GB|Designer Tool|Webcam|Markup|File Sharing|Weekends|Cloud
Data Storage|USB|Formatting|4GB|Windows|Data Storage|Text Editor|Ethernet|Holidays|Network
Printer|Printer|Ink Cartridge|2GB|Logic Pro|Printer|Presentation|Bluetooth|Anytime|Domain
Monitor|Screen|Backlight|1GB|Adobe Photoshop|Monitor|Database|Lightning Port|Whenever|Service
Smartphone|Cellular|Wireless|512MB|App Maker|Smartphone|Data Mining|Parallel Port|Always|Mobile
Headset|Audio|Microphone|256MB|Music Studio|Headset|Diagramming|VGA Port|All Day|Program
Game Console|Console|Joystick||Paint Tool|Console|Programming||Midnight|Server
