Geology | Structural | Metamorphic | Igneous 
---------------- | ---------- | ------------ | -------- 
Mineralogy | Folding | Burial Metamorphism | Granite
Petrology | Faulting | Contact Metamorphism | Basalt 
Stratigraphy | Layering | Regional Metamorphism | Lava 
Geomorphology | Tilting | Metasomatism | Diorite 
Petrography | Thrusting | High Pressure Metamorphism | Gabbro 
Hydrogeology | Plutonism | Zeolites | Andesite 
Seismology | Dykes | Fault-Zone Metamorphism | Pumice 
Tectonics | Sills | Isograd | Rhyolite 
Sedimentology | Rheology | Facies | Obsidian 
Geochemistry | Volcanism | Mylonite | Tephra 
Geohazards | Uplift | Index Minerals | Pegmatite 
Geophysics | Subsidence | Schistosity | Vesicular Basalt 
Economic Geology | Epeirogeny | Gneiss | Trachyte
