Biome | Climate | Flora | Fauna | Photosynthesis | Adaptation | Migration | Trophic Level | Forests | Temperature 
----- | ------- | ----- | ----- | -------------- | ----------- | --------- | ------------ | ------- | ----------- 
Tundra | Cold | Mosses | Musk ox | Low | Thick fur | South | Herbivores | None | -45° C 
Taiga | Cold | Conifers | Grizzly bear | Moderate | Thick fur | South | Carnivore | Boreal | -30° C 
Rainforest | Hot | Broadleaf trees | Gorilla | High | Camouflage | North | Omnivore | Tropical Rainforest | 25° C 
Desert | Hot | Succulents | Kangaroo rat | Low | Look like rocks | North | Herbivore | None | 50° C 
Grassland | Mild | Grasses | Bison | Moderate | Color changing | North | Omnivore | Temperate Deciduous | 10° C 
Temperate Forest | Mild | Trees and shrubs | Fox | Moderate | Camouflage | North | Carnivore | Broadleaf | 5° C 
Marsh | Humid | Bulrushes | Muskrat | High | Silt-tolerant | North | Carnivore | None | 15° C 
Iceberg | Frigid | None | Penguin | None | Insulated feathers | South | Carnivore | None | -10° C 
Prairie | Mild | Wildflowers | Elk | Low | Large horns | East | Herbivore | Shortgrass | 10° C 
Mountain | Varies | Spruce | Pika | Moderate | Long claws | West | Herbivore | Subalpine | -30° C 
Savanna | Hot and Dry | Grasses | Cheetah | High | Camouflage | East | Carnivore | Savanna | 30° C 
Swamp | Warm and humid | Mangroves | Alligator | Moderate | Scales | West | Carnivore | Wetland | 20° C
