Drug | Strength | Quantity | Price | Form | Manufacturer | 
Morphine | 15% | 30pills | $12 | Tablet | PharmaTech | 
Victoria | 25% | 60capsules | $17 | Capsule | MedTech | 
Ibuprofen | 50% | 20tablets | $6 | Syrup | LabsPlus | 
Zolpidem | 10% | 10pills | $4 | Liquid | Prochemist | 
Acetaminophen | 75% | 90tablets | $10 | Powder | TabsCorp | 
Valerian | 35% | 15tablets | $3 | Injection | HealthFarm | 
Promethazine | 45% | 25capsules | $8 | Suppository | DeltaDrugs |
Aspirin | 32% | 10capsules | $7 | Cream | NeoMedics |
Citalopram | 15% | 5injection | $15 | Ointment | Healthworkers|
Metoprolol | 10% | 25tablets | $10 | Nasal Spray | WhiteRx |
Venlafaxine | 20% | 12pills | $6 | Elixir | Healthmakers |
Omeprazole | 25% | 40capsules | $9 | Syrup | Kingmeds |
Diazepam | 50% | 80tablets | $12 | Tablet | Apotheca |
Nitrofurantoin | 35% | 25capsules | $8 | Powder | Firstcare|
Alprazolam | 40% | 10injections | $16 | Gel | BodyMeds |
Doxepin | 30% | 15capsules | $2 | Suppository | EmpireDrug |
