Planar       | Columnar       | Logarithmic | Elasticity    | Fluid         | Subsurface   | Blocky       | Texture       | Seismogram   | Stratigraphy | Clastics      | Tectonophysics | Reflection    | Refraction    |
Lower Jurassic      | Limestone        | Anomaly     | Modulus       | Viscosity      | Porosity      | Boundary      | Anisotropy    | Admission    | Group         | Chlorite      | Stress        | Model         | Resolution   |
Triassic           | Sandstone        | Balance     | Studies       | Flow           | Topography    | Architecture | Distribution  | Attenuation  | Formation     | Textures      | Fracture      | Imaging      | Amplitude    | 
Paleozoic          | Volcanic         | Reflection  | Reflection    | Mobility        | Amplitude     | Polarity      | Subsurface    | Reflection   | Object        | Cements       | Plate         | Migration    | Anisotropy   | 
Cambrian           | Sedimentary rocks | Traveltime  | Acoustics     | Compressibility| Deposits      | Dispersion    | Mapping       | Inversion    | Changes       | Sandstones    | Folding       | Stratigraphy  | Fracturing   |
Mesoproterozoic    | Igneous          | Signature   | Consolidation | Permeability    | Reflection    | Physical      | Magnetic      | Attenuation  | System        | Subsurface    | Reflection    | Mineralogy    | Lithology     | 
Ordovician         | Metamorphic      | Pattern     | Variations    | Conductivity    | Migration     | Velocity      | Character     | Inversion    | Unit          | Carbonates    | Magnetic      | Geomagnetic   | Discontinuity |
Upper Jurassic     | Shale            | Correlation | Seismology    | Viscous         | Geohistory    | Facies        | Synthetic      | Refraction   | Process       | Signatures    | Wave          | Generation    | Seismicity    | 
Cretaceous         | Conglomerate     | Waveform    | Pressure      | Diffusion       | Refraction    | Event         | Petrophysics   | Stratigraphy | Field         | Spectral      | Variable      | Reflection    | Shear         |
Permian            | Breccia          | Intercept   | Scattering    | Acoustic        | Seismology    | Seismicity    | Electromagnetic| Reaction    | Tectonics     | Fluids        | Gravity       | Geophysics    | Attenuation  |
Cambrian-Ordovician| Siltstones       | Gradient    | Attenuation   | Gravity         | Nematode      | Anisotropy    | Velocity      | Stratigraphy | Analysis      | Logging       | Folding       | Seismic       | Anomalies    |
