Song|Album|Composition|Artist|Conductor|Year|Duration|Composer|Producer|Label|Rating|Genre
Despacito|Vida|Collaboration|Luis Fonsi|Victor Maldonado|2017|4:42|Luis Fonsi|Mauricio Rengifo|Universal|91%|Latin Pop
Shape of You|Divide|Original|Ed Sheeran|N/A|2017|4:24|Ed Sheeran|Will Hicks|Atlantic|88%|Pop
Can't Stop the Feeling|Trolls (Original Motion Picture Soundtrack)|Original|Justin Timberlake|N/A|2016|4:04|Justin Timberlake|Max Martin|RCA|84%|Pop
Uptown Funk|Uptown Special|Original|Mark Ronson|N/A|2015|4:30|Mark Ronson|Jeff Bhasker|RCA|93%|Funk
Despacito Remix|Vida|Collaboration|Luis Fonsi|Victor Maldonado|2017|4:42|Luis Fonsi|Mauricio Rengifo|Universal|91%|Latin Pop
Havana|Camila|Original|Camila Cabello|N/A|2017|3:37|Camila Cabello|Frank Dukes|RCA|91%|Pop
Happier|Divide|Original|Ed Sheeran|N/A|2017|3:28|Ed Sheeran|Fred Gibson|Atlantic|83%|Pop
Blank Space|1989|Original|Taylor Swift|N/A|2014|4:33|Taylor Swift|Max Martin|Big Machine|87%|Pop
Believer|Evolve|Original|Imagine Dragons|N/A|2017|3:36|Imagine Dragons|Alex Da Kid|KIDinaKORNER|88%|Rock
My Heart Will Go On|Titanic (Music from the Motion Picture)|Original|Celine Dion|N/A|1997|4:40|James Horner|James Horner|SONY|87%|Pop
Finesse|24K Magic|Original|Bruno Mars|N/A|2016|3:34|Bruno Mars|Shampoo Press & Curl|Atlantic|84%|R&B
