Camera | Lens | Aperture | Shutter Speed | ISO | Depth Of Field | Focal Length | Flash | White Balance | Resolution | Image Format
Canon | 24-70mm | f/4.0 | 1/1300 sec | 250 | Narrow | 202mm | Off | Solarize | 2200x3200 | TIFF
Nikon | 70-200mm | f/2.8 | 1/2000 sec | 400 | Wide | 300mm | On | Sepia | 2300x3300 | TIFF
Sony | 18-105mm | f/3.5 | 1/1500 sec | 200 | Infinite | 100mm | Off | Black & White | 2400x3400 | TIFF
Pentax | 18-250mm | f/4.5 | 1/400 sec | 300 | Moderate | 80mm | On | Vivid | 2500x3500 | TIFF
Fuji | 50-250mm | f/3.5 | 1/250 sec | 800 | Shallow | 250mm | Off | Vivid Green | 2600x3600 | TIFF
Olympus | 12-40mm | f/2.8 | 1/4000 sec | 400 | Standard | 150mm | On | Landscape | 2700x3700 | TIFF
Samsung | 18-140mm | f/3.8 | 1/1000 sec | 100 | Deep | 120mm | Off | Default | 2800x3800 | TIFF
Panasonic | 45-175mm | f/4.0 | 1/500 sec | 200 | Maximum | 180mm | On | Monochrome | 2900x3900 | TIFF
Kodak | 25-400mm | f/3.2 | 1/250 sec | 400 | Minimal | 110mm | Off | Neutral | 3000x4000 | TIFF
Leica | 28-100mm | f/2.2 | 1/3000 sec | 100 | Extreme | 190mm | On | Landscape | 3200x4200 | TIFF
