Kingdom | Phylum | Class | Family | Common Name 
Eukarya | Chordata | Actinopterygii | Centrarchidae | Sunfish 
Eukarya | Chordata | Aves | Accipitridae | Bald Eagle 
Eukarya | Chordata | Actinopterygii | Cyprinidae | Carp 
Eukarya | Mollusca | Gastropoda | Soleidae | Sole 
Eukarya | Arthropoda | Insecta | Formicidae | Ant 
Sportfish | Cyprinidae | Cyprinodontidae | Cyprinodontidae | Guppy 
Eukarya | Mollusca | Bivalvia | Unionidae | Freshwater Clam 
Eukarya | Chordata | Vertebrata | | Sharks 
Eukarya | Chordata | Reptilia | Crocodylidae | Alligator 
Eukarya | Arthropoda | Insecta | Ephemeroptera | Mayflies 
Eukarya | Chordata | Aves | Laridae | Seagull 
Eukarya | Mollusca | Gastropoda | Valvatidae | Apple Snail
