Name | Country | Continent | Region | Annual Precip | Summer Precip | Winter Precip |Humidity | Sun
Tuggeranong, ACT | Australia | Australasia | Australia | 620mm | 495mm | 125mm | 85% | 4 hrs
Goulburn, NSW | Australia | Australasia | Australia | 538mm | 375mm | 163mm | 80% | 4.7 hrs
Adelaide | Australia | Australasia | Australia | 613mm | 321mm | 292mm | 93% | 5.3 hrs
Albany | Australia | Australasia | Australia | 847mm | 360mm | 486mm | 76% | 5.7 hrs
Darwin | Australia | Australasia | Australia | 1726mm | 35mm | 1691mm | 70% | 5.9 hrs
Brisbane | Australia | Australasia | Australia | 990mm | 587mm | 402mm | 74% | 5.7 hrs
Canberra | Australia | Australasia | Australia | 623mm | 263mm | 360mm | 78% | 7.3 hrs
Albury, NSW | Australia | Australasia | Australia | 576mm | 283mm | 293mm | 82% | 4.8 hrs
Perth | Australia | Australasia | Australia | 698mm | 533mm | 164mm | 69% | 5.5 hrs
Broome | Australia | Australasia | Australia | 394mm | 212mm | 182mm | 75% | 4.2 hrs
Hobart | Australia | Australasia | Australia | 746mm | 496mm | 250mm | 79% | 5.5 hrs
